ANO_ELEICAO;CD_TIPO_ELEICAO;NR_TURNO;TP_ABRANGENCIA;ID_UF;CD_CARGO;NR_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO
2022;2;1;ESTADUAL;18;7;20227;TANIA GALVÃO;20
2022;2;1;ESTADUAL;8;7;45000;DR EMÍLIO MAMERI;45
2022;2;1;ESTADUAL;18;7;51190;SOLDADO BECKER;51
2022;2;1;ESTADUAL;22;7;19011;RICARDO CEARÁ;19
2022;2;1;ESTADUAL;8;7;19800;ANA PAULA;19
2022;2;1;ESTADUAL;7;8;90444;HELENA CANTANHEDE;90
2022;2;1;ESTADUAL;26;6;4577;RÔ CAMOLESE;45
2022;2;1;ESTADUAL;26;7;70900;JORGE DURAN;70
2022;2;1;ESTADUAL;18;6;4025;ENFERMEIRA SUZANA RABELO;40
2022;2;1;ESTADUAL;4;7;55655;PROF. ALMIRO;55
2022;2;1;ESTADUAL;22;6;3312;CLAUDIONEI DO AGRO;33
2022;2;1;ESTADUAL;4;7;12401;WANDERLEYA SILVA;12
2022;2;1;ESTADUAL;14;7;20500;JOÃO PINGARILHO;20
2022;2;1;ESTADUAL;11;7;30022;TERESA GUERRA;30
2022;2;1;ESTADUAL;22;7;14557;PEDRO DO SINDICATO;14
2022;2;1;ESTADUAL;26;6;5138;ARMANDO INFANTI JR;51
2022;2;1;ESTADUAL;6;6;7060;HERMANO GOMES;70
2022;2;1;ESTADUAL;3;7;51456;IRANETE SOUZA;51
2022;2;1;ESTADUAL;16;6;3322;IRMAO DINIZ;33
2022;2;1;ESTADUAL;11;7;10123;CARLOS HENRIQUE;10
2022;2;1;ESTADUAL;11;7;10433;CLAUDINHO DO INTERLAGOS;10
2022;2;1;ESTADUAL;7;8;19783;JOSIVAN FERREIRA;19
2022;2;1;ESTADUAL;6;7;33222;SANTOS DOS PROJETOS SOCIAIS;33
2022;2;1;ESTADUAL;11;7;27107;ANDERSON LIMA BARRETO;27
2022;2;1;ESTADUAL;14;6;1199;SENA;11
2022;2;1;ESTADUAL;26;7;90899;DAVID CHU;90
2022;2;1;ESTADUAL;15;7;13456;TERESINHA DANTAS;13
2022;2;1;ESTADUAL;5;7;35777;ALINE SENA ;35
2022;2;1;ESTADUAL;23;6;1951;ROSI DA SAÚDE;19
2022;2;1;ESTADUAL;7;6;1324;VANESSA É O BICHO;13
2022;2;1;ESTADUAL;6;7;36190;CORONEL MARQUES;36
2022;2;1;ESTADUAL;18;7;40525;DRA. ANDRESSA COSTA;40
2022;2;1;ESTADUAL;18;7;40140;AGUINALDO DO POSTO;40
2022;2;1;ESTADUAL;2;7;43444;SARGENTO OLÍMPIO;43
2022;2;1;ESTADUAL;24;7;14123;ANSELMINI;14
2022;2;1;ESTADUAL;7;6;1110;SAMANTHA MEYER;11
2022;2;1;ESTADUAL;7;6;1525;PROFESSOR FÁBIO;15
2022;2;1;ESTADUAL;24;6;2277;MAIKON COSTA;22
2022;2;1;ESTADUAL;19;6;5180;ALMIR MOURA;51
2022;2;1;ESTADUAL;24;7;13800;TOMIO;13
2022;2;1;ESTADUAL;18;7;44014;DR. BATISTA;44
2022;2;1;ESTADUAL;5;7;40666;CRISPIM TERRAL;40
2022;2;1;ESTADUAL;6;6;4599;CHIQUINHO FEITOSA;45
2022;2;1;ESTADUAL;19;7;27567;MARCOS ANDRE;27
2022;2;1;ESTADUAL;26;7;19699;DOUGLAS DFCAR;19
2022;2;1;ESTADUAL;21;6;4429;LEBRÃO;44
2022;2;1;ESTADUAL;9;6;1077;RODNEY MIRANDA;10
2022;2;1;ESTADUAL;26;6;4058;ECLAIR PIRES;40
2022;2;1;ESTADUAL;9;7;20777;PATRÍCIA RODRIGUES;20
2022;2;1;ESTADUAL;23;7;12100;MOISÉS FONTOURA;12
2022;2;1;ESTADUAL;7;6;2211;CHEF VINÍCIUS ROSSIGNOLI;22
2022;2;1;ESTADUAL;24;7;28020;ANDREIA MACHADO;28
2022;2;2;ESTADUAL;5;3;13;JERÔNIMO;13
2022;2;1;ESTADUAL;20;7;70999;PAULINHO DE TOUROS;70
2022;2;1;ESTADUAL;4;7;70555;SHIRLEY SILVA;70
2022;2;1;ESTADUAL;19;7;65123;DANI BALBI;65
2022;2;1;ESTADUAL;15;6;4008;ZOIAO DA PARAIBA;40
2022;2;1;ESTADUAL;8;7;13123;JULIO DA FETAES;13
2022;2;1;ESTADUAL;11;7;33877;ROBERTO NOGUEIRA;33
2022;2;1;ESTADUAL;26;6;4042;PROFESSORA TEREZA;40
2022;2;1;ESTADUAL;11;7;15133;JOÃO MAGALHÃES;15
2022;2;1;ESTADUAL;26;6;1190;CORONEL TELHADA;11
2022;2;1;ESTADUAL;9;6;7770;BRUNO SANTIAGO;77
2022;2;1;ESTADUAL;7;8;27111;SOLANGE HOLANDA;27
2022;2;1;ESTADUAL;20;7;77022;FLAVIO DO PASTEL;77
2022;2;1;ESTADUAL;15;6;2211;POLICIAL CAIO;22
2022;2;1;ESTADUAL;18;7;11100;TEIXEIRINHA;11
2022;2;1;ESTADUAL;5;7;10912;DR VALDENEY OLIVEIRA;10
2022;2;1;ESTADUAL;17;6;1456;MARIA RITA SAMPAIO;14
2022;2;1;ESTADUAL;26;6;2997;TIAGO PIRES;29
2022;2;1;ESTADUAL;18;6;4445;DELEGADO NILSON DINIZ;44
2022;2;1;ESTADUAL;6;7;44441;GILBERTO DE GRANJA;44
2022;2;1;ESTADUAL;11;6;4088;ROBERTO BIN LADEM;40
2022;2;1;ESTADUAL;3;7;15555;CARECA;15
2022;2;1;ESTADUAL;26;6;2032;EDILSON PACHECO;20
2022;2;1;ESTADUAL;7;8;19333;CLAUDÃO DO GAMÃO;19
2022;2;1;ESTADUAL;21;6;7715;ADRIANO SOARES;77
2022;2;1;ESTADUAL;11;7;51193;SARGENTO DE PAULA;51
2022;2;1;ESTADUAL;19;7;14009;GABIGOL DA TORCIDA;14
2022;2;1;ESTADUAL;2;6;5555;GUSTAVO LIMA;55
2022;2;1;ESTADUAL;22;7;44447;ELIAN SANTOS;44
2022;2;1;ESTADUAL;15;6;1155;GUGA OLIVEIRA;11
2022;2;1;ESTADUAL;1;7;23456;MAURICIO DOS ESPETINHOS;23
2022;2;1;ESTADUAL;25;6;3344;SANDRA LIMA;33
2022;2;1;ESTADUAL;4;6;5013;ALINNE BRITO;50
2022;2;1;ESTADUAL;10;7;55333;PEDRO NERES;55
2022;2;1;ESTADUAL;12;7;77444;ISMAEL GOMES O CRIA ;77
2022;2;1;ESTADUAL;26;6;5153;FERNANDO DIAS;51
2022;2;1;ESTADUAL;26;6;5191;RAFAEL LABIAPARI;51
2022;2;1;ESTADUAL;18;6;5005;THIAGO BAGATIN E COLETIVO EKOA;50
2022;2;1;ESTADUAL;11;7;33676;EUGENIO FERREIRA;33
2022;2;1;ESTADUAL;1;7;65123;EDVALDO MAGALHÃES;65
2022;2;1;ESTADUAL;5;7;33888;OTAVIO JÚNIOR;33
2022;2;1;ESTADUAL;18;7;33013;DYLAH;33
2022;2;1;ESTADUAL;18;7;30030;DANIEL MALVEZZI;30
2022;2;1;ESTADUAL;1;7;90345;SOUZA SOMBRA;90
2022;2;1;ESTADUAL;23;6;5110;PIZZATTO;51
2022;2;1;ESTADUAL;12;7;12069;SOL DO PDT;12
2022;2;1;ESTADUAL;20;7;70070;OZIAS VICENTE;70
2022;2;1;ESTADUAL;3;7;35144;JOZE SERRA;35
2022;2;1;ESTADUAL;18;7;33000;ROCHA;33
2022;2;1;ESTADUAL;18;7;18000;PROFESSOR TIAGO SILVA;18
2022;2;1;ESTADUAL;1;7;77200;MANELZINHO;77
2022;2;1;ESTADUAL;26;6;2082;AURELIA CINAQUI;20
2022;2;1;ESTADUAL;4;7;28212;REGIANE SOUZA;28
2022;2;1;ESTADUAL;11;3;50;LORENE FIGUEIREDO;50
2022;2;1;ESTADUAL;17;7;15789;GEORGIANO;15
2022;2;1;ESTADUAL;23;7;45777; CATARINA PALADINI;45
2022;2;1;ESTADUAL;22;7;55007;MÁRCIO SOBRAL;55
